시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,근거,RS_slope20,RS_high50,VCP_ok,Pivot_near,Vol_breakout,UDVR_50,UDVR_ok,OBV_high,Weekly_pos,Regime_good,EBS_PLUS,HitProb_%(heuristic),추천매수가,추천매도가1,추천매도가2,손절가
기타,효성중공업,298040,2135000,928.11,199079.1,92.1,27.11,43930.2962,1315.81372,-0.7,12.19,35.13,3,"MACD↑, 상승구조, MACD>0",0.3253,True,False,True,False,1.99,True,True,True,True,65.6,49.0,1731740,1836030,1919460,1629210
KOSDAQ,아이씨티케이,456010,20350,607.15,2731.1,74.3,24.92,395.5434,116.06723,0.03,30.87,40.44,3,"MACD↑, 상승구조, MACD>0",0.1229,True,False,True,False,5.94,True,True,True,True,65.6,49.0,17150,18850,20220,15800
KOSDAQ,인투셀,287840,63400,526.02,9413.4,84.0,41.53,1821.2812,390.32329,0.82,31.67,69.97,3,"MACD↑, 상승구조, MACD>0",0.4438,True,False,True,False,3.81,True,True,True,True,65.6,49.0,46890,51080,54440,43450
KOSDAQ,케이엔알시스템,199430,26650,176.9,2904.1,71.6,25.69,211.1257,30.43408,-0.72,13.16,12.68,3,"MACD↑, 상승구조, MACD>0",0.789,True,False,True,False,2.82,True,True,True,True,65.6,49.0,22500,25110,27190,20570
KOSDAQ,넥스틴,348210,65900,86.25,6904.3,81.9,18.03,831.3909,141.94211,0.03,10.76,27.47,3,"MACD↑, 상승구조, MACD>0",0.1224,True,False,True,False,2.82,True,True,True,True,65.6,49.0,57460,60710,63310,54160
KOSDAQ,에스피지,058610,33800,650.2,7495.9,60.1,9.62,-28.6469,126.88309,2.47,7.64,9.56,5,"RSI 45~65, MACD↑, 거래량↑, 상승구조, 5d<10%",0.0594,False,False,True,True,1.78,True,False,True,True,64.8,48.3,31860,33900,35540,29910
기타,삼성에스디에스,018260,183000,1228.97,141601.4,61.7,8.54,897.2481,651.93516,2.5,8.93,10.57,6,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0671,False,False,True,True,1.73,True,True,True,True,64.5,48.1,172350,179870,185880,163540
기타,효성,004800,126700,84.33,21210.1,86.2,22.97,2533.7746,-17.70595,0.2,11.34,25.32,2,"상승구조, MACD>0",0.2202,True,False,True,False,1.63,True,True,True,True,63.4,47.1,106110,112280,117210,99940
기타,기아,000270,119900,3659.67,472153.3,83.8,9.19,749.6084,105.60674,2.53,4.35,6.96,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0136,False,False,True,True,1.63,True,True,True,True,62.3,46.1,112080,116610,120240,106520
기타,두산로보틱스,454910,78000,2031.66,50559.6,66.5,9.92,140.1619,344.3626,3.8,6.7,8.64,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0345,False,False,True,True,2.19,True,True,True,True,62.3,46.1,72740,76310,79160,68830
KOSDAQ,파두,440110,25400,363.55,12560.7,59.5,11.28,17.0151,79.87,0.89,9.25,14.16,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.0439,False,False,True,True,2.24,True,True,True,True,62.3,46.1,23770,25650,27150,22140
KOSDAQ,코닉오토메이션,391710,2775,166.77,1167.3,62.0,8.8,6.3308,10.70575,0.68,6.94,15.38,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.0776,False,False,True,True,5.43,True,True,True,True,62.3,46.1,2690,2970,3200,2470
기타,현대위아,011210,58600,162.39,15936.3,84.5,10.9,493.1986,53.85948,2.09,2.99,11.83,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.004,False,False,True,True,1.84,True,True,True,True,62.3,46.1,53870,55940,57590,51250
기타,한온시스템,018880,4365,173.26,29628.0,86.6,20.98,81.3701,3.23719,0.65,10.23,16.4,3,"MACD↑, 상승구조, MACD>0",0.1721,False,False,True,True,1.98,True,False,True,True,60.4,44.4,3740,4000,4210,3500
기타,현대모비스,012330,316000,1264.57,290072.5,76.5,4.04,909.8485,540.16122,2.84,2.93,2.6,4,"MACD↑, 거래량↑, MACD>0, 5d<10%",-0.117,False,False,True,True,1.42,True,True,True,True,60.1,44.1,308420,317810,325330,294610
KOSDAQ,슈어소프트테크,298830,5210,234.43,2741.5,78.1,9.53,34.1821,22.86255,4.22,6.76,7.87,4,"MACD↑, 거래량↑, MACD>0, 5d<10%",-0.0764,False,False,True,True,2.85,True,True,True,True,60.1,44.1,4860,5060,5220,4610
기타,대덕전자,353200,37950,363.95,18753.7,62.5,13.9,303.5062,0.32715,-0.86,7.97,17.49,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",0.1761,False,False,True,False,2.35,True,True,True,True,59.7,43.7,34470,36770,38610,32320
KOSDAQ,에이비엘바이오,298380,99700,1295.31,54959.8,63.6,9.54,1024.0736,487.19213,2.29,17.57,16.2,4,"RSI 45~65, MACD↑, 거래량↑, MACD>0",-0.1086,False,True,True,True,1.08,False,False,True,True,57.5,41.8,93300,97860,101500,88290
KOSDAQ,프로티나,468530,63400,459.42,6892.8,55.9,24.21,575.8977,349.95091,-0.52,40.11,42.31,4,"RSI 45~65, MACD↑, 상승구조, MACD>0",0.2624,False,False,True,False,4.93,True,True,True,True,57.5,41.8,54590,61700,67380,49510
KOSDAQ,재영솔루텍,049630,1068,444.8,1087.1,60.7,10.43,13.0419,-8.34848,0.69,-6.72,24.04,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",0.0646,False,False,False,True,5.04,True,True,True,True,57.5,41.8,1020,1130,1210,940
KOSDAQ,네오셈,253590,12540,91.66,5501.2,52.7,7.23,-42.0184,32.68471,-0.23,6.45,8.01,4,"RSI 45~65, MACD↑, 상승구조, 5d<10%",0.0768,False,False,True,False,4.09,True,True,True,True,57.5,41.8,12010,12630,13130,11340
KOSDAQ,원일티엔아이,136150,26000,242.15,2179.1,78.9,17.98,446.4944,186.75422,0.38,16.33,25.6,2,"MACD↑, MACD>0",-0.0123,False,False,True,True,5.85,True,True,True,True,55.7,40.1,22840,24450,25740,21380
KOSDAQ,휴림로봇,090710,6450,1671.1,7705.0,84.6,32.27,91.7484,-10.69132,-0.18,6.09,40.07,3,"상승구조, MACD>0, 5d<10%",0.6773,False,False,True,False,3.13,True,True,True,True,55.3,39.8,5200,5840,6350,4730
기타,한국금융지주,071050,182300,830.18,101588.5,78.7,13.42,1693.6706,-1.38729,0.64,5.99,18.3,3,"상승구조, MACD>0, 5d<10%",0.0583,False,False,True,False,1.41,True,True,True,True,55.3,39.8,165840,176050,184220,155910
KOSDAQ,로보스타,090360,86900,809.55,8472.8,83.1,32.33,1562.8015,-242.76637,-0.71,8.9,34.94,3,"상승구조, MACD>0, 5d<10%",0.5693,False,False,True,False,5.78,True,True,True,True,55.3,39.8,70150,79100,86270,63700
기타,SJG세종,033530,8240,288.54,2292.4,73.0,16.58,68.5552,-13.4842,0.61,-0.72,42.81,3,"상승구조, MACD>0, 5d<10%",0.1209,False,False,False,True,3.96,True,True,True,True,55.3,39.8,7420,8130,8690,6860
기타,한국타이어앤테크놀로지,161390,46350,162.4,57416.1,88.0,9.96,454.0314,-25.94592,-0.27,4.86,9.45,3,"상승구조, MACD>0, 5d<10%",0.0029,False,False,True,False,1.7,True,True,True,True,55.3,39.8,42820,44160,45240,40890
KOSDAQ,모티브링크,463480,10620,160.89,1315.9,68.8,8.37,23.3852,-5.39431,1.08,-0.47,-2.3,3,"상승구조, MACD>0, 5d<10%",0.0109,False,False,False,True,4.1,True,True,True,True,55.3,39.8,10200,10990,11620,9510
KOSDAQ,피앤에스로보틱스,460940,21300,155.76,1398.5,70.2,25.65,512.5233,15.76085,0.0,21.09,38.49,3,"MACD↑, 상승구조, MACD>0",0.211,False,False,True,False,4.88,True,True,True,True,55.3,39.8,17870,19700,21170,16440
KOSDAQ,성우하이텍,015750,6780,73.43,5424.0,79.1,8.92,41.6948,-7.03526,0.24,0.59,3.83,3,"상승구조, MACD>0, 5d<10%",0.0181,False,False,True,False,2.15,True,True,True,True,55.3,39.8,6400,6760,7050,6040
KOSDAQ,에이스테크,088800,3655,632.56,2759.8,85.1,57.04,169.114,38.70559,3.24,67.28,72.41,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.4382,False,False,True,True,0.97,False,False,True,True,54.9,39.4,2480,2790,3040,2260
기타,HL만도,204320,38550,180.05,18102.0,75.7,9.24,295.7285,69.58388,1.29,5.18,8.9,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0639,False,False,True,True,1.52,True,False,True,True,54.6,39.1,36000,37430,38580,34230
기타,신영증권,001720,144900,67.22,23821.6,66.4,5.83,848.3696,187.36133,2.17,5.23,8.54,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0923,False,False,True,True,1.47,True,False,True,True,54.6,39.1,139760,145450,150010,132810
기타,현대건설,000720,70300,1878.23,78283.1,66.5,15.26,1526.4068,-121.67362,0.73,5.56,25.54,2,"MACD>0, 5d<10%",0.0575,False,False,False,True,1.39,True,True,True,True,53.1,37.8,63260,67790,71420,59160
KOSDAQ,심텍,222800,63100,483.23,21921.7,69.5,18.99,470.6112,-32.48808,-0.71,10.31,28.51,2,"상승구조, MACD>0",0.2812,False,False,True,False,2.76,True,True,True,True,53.1,37.8,55410,60170,63980,51440
기타,한미약품,128940,425000,2209.75,54446.7,67.0,16.24,4946.4603,1687.34312,1.73,25.37,22.83,4,"MACD↑, 거래량↑, 상승구조, MACD>0",-0.0707,False,False,True,True,1.81,True,False,True,True,52.4,37.2,377840,402270,421810,354660
KOSDAQ,삼천당제약,000250,234000,574.8,54890.5,69.8,11.11,2367.7037,960.00218,1.67,17.47,16.71,4,"MACD↑, 거래량↑, 상승구조, MACD>0",-0.1069,False,False,True,True,1.57,True,False,True,True,52.4,37.2,216310,227750,236900,204280
KOSDAQ,인벤티지랩,389470,51000,359.1,6308.2,69.8,18.15,1013.206,242.13626,1.73,21.72,39.53,4,"MACD↑, 거래량↑, 상승구조, MACD>0",-0.0595,False,False,True,True,1.63,True,False,True,True,52.4,37.2,44970,48580,51460,41870
기타,SK바이오팜,326030,115500,347.16,90451.8,74.0,8.55,1210.1456,-9.71749,1.2,8.45,14.36,3,"상승구조, MACD>0, 5d<10%",-0.0619,False,False,True,True,1.62,True,False,True,True,50.2,35.2,108310,112140,115210,103210
KOSDAQ,바이오니아,064550,15500,56.21,4000.6,79.3,12.78,227.8467,72.57298,3.47,17.07,18.5,3,"MACD↑, 거래량↑, MACD>0",-0.0847,False,False,True,True,1.14,False,True,True,True,50.2,35.2,14000,14510,14910,13330
기타,LS,006260,209000,1140.53,66253.0,81.0,9.08,2239.2221,-1011.71493,2.79,-1.18,11.29,4,"거래량↑, 상승구조, MACD>0, 5d<10%",0.0609,False,False,False,True,1.57,True,False,True,True,49.8,34.8,195950,204670,211640,185850
KOSDAQ,엔젤로보틱스,455900,31050,345.25,4714.4,64.2,8.18,-134.2542,42.74168,0.6,2.31,2.64,4,"RSI 45~65, MACD↑, 상승구조, 5d<10%",0.0577,False,False,False,True,2.4,True,False,True,True,49.8,34.8,29920,32340,34280,27840
KOSDAQ,RF머트리얼즈,327260,16850,90.12,1421.0,55.0,-4.83,-379.8138,-145.6967,1.37,-10.04,-10.8,4,"RSI 45~65, 거래량↑, 상승구조, 5d<10%",0.0266,False,False,False,True,3.2,True,False,True,True,49.8,34.8,16850,18870,20490,17170
KOSDAQ,앱클론,174900,21700,50.86,4143.2,62.9,13.62,112.5859,68.93086,-0.41,26.46,15.73,4,"RSI 45~65, MACD↑, 상승구조, MACD>0",0.1394,False,False,True,False,2.22,True,False,True,True,49.8,34.8,19820,21250,22400,18530
기타,NAVER,035420,267500,7640.89,419580.8,53.3,3.63,-181.8511,792.07788,1.04,8.3,4.7,5,"RSI 45~65, MACD↑, MA20 근처, 상승구조, 5d<10%",-0.1403,False,False,True,False,1.43,True,True,True,True,49.5,34.6,263520,274300,282930,250380
KOSDAQ,켐트로닉스,089010,34950,459.63,5551.6,53.6,5.94,60.4442,30.6343,-0.17,7.54,13.11,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.038,False,False,True,False,2.11,True,True,True,True,49.5,34.6,34240,36730,38720,32000
KOSDAQ,고영,098460,16700,291.91,11465.3,50.4,2.71,-43.1799,4.52694,0.05,-1.01,4.64,5,"RSI 45~65, MACD↑, MA20 근처, 상승구조, 5d<10%",-0.0654,False,False,True,False,2.56,True,True,True,True,49.5,34.6,16690,17540,18220,15770
KOSDAQ,티엑스알로보틱스,484810,17200,243.47,2657.6,56.3,4.8,-60.5951,82.91944,1.69,5.39,4.81,5,"RSI 45~65, MACD↑, 거래량↑, 상승구조, 5d<10%",-0.0817,False,False,False,True,2.71,True,True,True,True,49.5,34.6,16950,18010,18870,15920
KOSDAQ,샘씨엔에스,252990,7750,169.39,4525.1,49.3,7.68,-33.3272,41.6241,1.7,9.31,9.15,5,"RSI 45~65, MACD↑, 거래량↑, 상승구조, 5d<10%",-0.032,False,False,True,False,2.48,True,True,True,True,49.5,34.6,7440,7930,8310,6980
기타,화신,010690,8820,78.18,3080.0,76.8,5.17,50.6147,-8.50563,0.96,-0.11,2.56,2,"MACD>0, 5d<10%",-0.063,False,False,True,True,1.69,True,False,True,True,48.0,33.2,8580,8960,9270,8130
기타,SK하이닉스,000660,559000,18771.66,4069533.2,83.3,21.23,7085.9894,-1174.45167,-0.59,9.61,20.09,3,"상승구조, MACD>0, 5d<10%",0.3694,False,False,True,False,1.82,True,False,True,True,47.6,32.8,473730,498950,519120,447290
기타,한화오션,042660,137600,5344.56,421624.8,70.8,14.62,2357.3467,-333.09309,0.34,1.78,28.36,3,"상승구조, MACD>0, 5d<10%",0.0601,False,False,True,False,1.41,True,False,True,True,47.6,32.8,124680,133920,141320,116450
KOSDAQ,로보티즈,108490,220500,3261.42,29151.3,65.3,16.63,268.5693,525.64047,-0.33,14.31,14.72,3,"MACD↑, 상승구조, MACD>0",0.2527,False,False,True,False,2.5,True,False,True,True,47.6,32.8,197840,215410,229470,183380
기타,삼성SDI,006400,322000,3240.61,259485.4,85.4,26.76,8503.0652,-959.56771,-0.12,9.9,26.03,3,"상승구조, MACD>0, 5d<10%",0.3108,False,False,True,False,1.53,True,False,True,True,47.6,32.8,263810,283380,299040,246400
기타,미래에셋증권,006800,26300,1058.75,149993.2,68.8,13.12,286.7811,-7.91792,0.12,8.23,22.04,3,"상승구조, MACD>0, 5d<10%",0.0525,False,False,True,False,1.5,True,False,True,True,47.6,32.8,24060,25670,26960,22550
기타,일진전기,103590,57600,1055.42,27466.8,79.8,30.27,1655.075,12.78156,-0.07,13.16,36.98,3,"MACD↑, 상승구조, MACD>0",0.4007,False,False,True,False,1.94,True,False,True,True,47.6,32.8,46020,49640,52530,42890
기타,LS ELECTRIC,010120,435000,1049.55,130500.0,89.7,30.19,13454.6395,12.1291,-0.32,18.05,44.04,3,"MACD↑, 상승구조, MACD>0",0.3135,False,False,True,False,1.8,True,False,True,True,47.6,32.8,345210,367370,385090,324100
기타,산일전기,062040,156700,886.36,47707.6,78.9,20.46,3328.3104,-400.73801,-0.73,8.29,18.71,3,"상승구조, MACD>0, 5d<10%",0.1411,False,False,True,False,1.75,True,False,True,True,47.6,32.8,135540,146450,155180,126180
기타,두산퓨얼셀,336260,42700,764.66,27965.8,73.4,26.82,1150.5466,50.14413,-0.27,36.42,29.59,3,"MACD↑, 상승구조, MACD>0",0.1656,False,False,True,False,2.83,True,False,True,True,47.6,32.8,35180,38190,40600,32660
KOSDAQ,로보로보,215100,9980,388.11,2030.8,84.2,20.56,100.8188,-38.49881,-0.45,-2.06,34.5,3,"상승구조, MACD>0, 5d<10%",0.2484,False,False,True,False,4.65,True,False,True,True,47.6,32.8,8820,9910,10780,8030
기타,디아이,003160,24500,340.11,6933.5,60.7,12.79,-22.7267,-5.62483,-0.52,2.08,16.39,3,"RSI 45~65, 상승구조, 5d<10%",0.3287,False,False,True,False,3.21,True,False,True,True,47.6,32.8,22750,24820,26480,21070
KOSDAQ,서진시스템,178320,27150,326.4,15271.3,68.2,7.3,223.2245,-218.7287,0.88,0.74,8.82,3,"상승구조, MACD>0, 5d<10%",0.0386,False,False,False,True,1.68,True,False,True,True,47.6,32.8,26190,27960,29380,24540
KOSDAQ,강원에너지,114190,16060,300.26,4195.4,74.2,27.82,527.1191,-25.45903,-0.23,6.78,31.32,3,"상승구조, MACD>0, 5d<10%",0.2385,False,False,True,False,3.57,True,False,True,True,47.6,32.8,13270,14690,15820,12190
KOSDAQ,에프에스티,036810,36700,258.44,8058.0,54.9,7.47,-63.8175,-15.35205,0.83,-4.92,8.26,3,"RSI 45~65, 상승구조, 5d<10%",0.0326,False,False,False,True,1.86,True,False,True,True,47.6,32.8,35620,38550,40900,33120
KOSDAQ,HLB,028300,48600,243.51,63886.7,79.2,14.92,846.133,-83.92081,-0.33,6.7,22.11,3,"상승구조, MACD>0, 5d<10%",0.0339,False,False,True,False,1.75,True,False,True,True,47.6,32.8,43410,45650,47440,41020
KOSDAQ,로킷헬스케어,376900,37750,221.33,5836.1,65.4,16.12,-161.0851,21.83143,-0.8,6.34,8.48,3,"MACD↑, 상승구조, 5d<10%",0.4474,False,False,True,False,5.74,True,False,True,True,47.6,32.8,34370,38090,41060,31530
KOSDAQ,원익IPS,240810,64200,206.31,31511.9,65.8,12.92,506.9407,-123.55898,-0.75,4.39,18.89,3,"상승구조, MACD>0, 5d<10%",0.1947,False,False,True,False,2.13,True,False,True,True,47.6,32.8,58560,61960,64690,55150
KOSDAQ,세명전기,017510,11460,162.81,1747.2,70.7,12.25,174.1945,-17.63274,-0.19,1.78,15.76,3,"상승구조, MACD>0, 5d<10%",0.0615,False,False,True,False,1.62,True,False,True,True,47.6,32.8,10620,11440,12090,9900
기타,코리아써키트,007810,20650,111.89,4877.7,67.3,8.56,-4.5232,17.30812,-0.98,4.56,10.66,3,"MACD↑, 상승구조, 5d<10%",0.028,False,False,True,False,2.78,True,False,True,True,47.6,32.8,19720,21130,22250,18450
KOSDAQ,링크솔루션,474650,32350,59.28,1804.8,84.5,28.66,849.0842,-117.7763,-0.48,6.24,21.85,3,"상승구조, MACD>0, 5d<10%",0.3641,False,False,True,False,3.41,True,False,True,True,47.6,32.8,26520,29280,31490,24390
KOSDAQ,필옵틱스,161580,42200,182.46,9876.0,54.8,8.23,137.6614,105.70946,-0.11,12.08,12.23,4,"RSI 45~65, MACD↑, 상승구조, MACD>0",-0.0003,False,False,True,False,2.15,True,True,True,True,47.3,32.6,40020,42070,43710,37820
KOSDAQ,루닛,328130,42950,247.52,12543.4,62.4,6.21,217.7614,183.60806,3.78,9.71,6.71,5,"RSI 45~65, MACD↑, 거래량↑, MACD>0, 5d<10%",-0.1214,False,False,True,True,0.86,False,False,True,True,46.9,32.2,41310,43060,44450,39220
기타,에스엘,005850,36350,110.84,16884.0,65.6,2.65,-26.0814,21.71814,1.29,0.28,-0.14,5,"MACD↑, MA20 근처, 거래량↑, 상승구조, 5d<10%",-0.1327,False,False,True,True,1.23,False,False,True,True,46.9,32.2,36140,37580,38740,34350
기타,삼성중공업,010140,29550,1797.14,260040.0,82.3,21.31,746.5524,-91.40252,-0.34,19.15,31.04,2,"상승구조, MACD>0",0.1683,False,False,True,False,3.11,True,False,True,True,45.4,30.9,25100,26590,27790,23630
기타,HD현대일렉트릭,267260,870000,1637.4,313610.1,82.7,22.43,17117.3625,-1487.44135,0.14,11.54,30.43,2,"상승구조, MACD>0",0.2604,False,False,True,False,2.24,True,False,True,True,45.4,30.9,729050,765940,795450,689280
KOSDAQ,케이엠더블유,032500,17010,156.98,6930.6,70.1,25.21,539.0847,-17.79718,0.8,28.77,29.55,2,"상승구조, MACD>0",0.2067,False,False,False,True,2.34,True,False,True,True,45.4,30.9,14170,15340,16280,13180
기타,해성디에스,195870,51600,71.46,8772.0,75.8,21.92,665.8274,-40.59195,-1.05,14.79,29.49,2,"상승구조, MACD>0",0.5031,False,False,True,False,3.15,True,False,True,True,45.4,30.9,43830,46850,49270,41050
KOSDAQ,토모큐브,475960,43850,257.96,5812.0,42.2,-1.97,-479.2905,329.66776,2.04,10.45,2.69,3,"MACD↑, 거래량↑, 상승구조",-0.2585,False,True,False,True,1.45,True,False,False,True,45.1,30.6,43850,46360,48380,43390
KOSDAQ,퓨쳐켐,220100,19650,163.74,4343.1,56.8,5.51,112.1006,54.40817,2.53,10.02,9.47,4,"RSI 45~65, MACD↑, 거래량↑, MACD>0",-0.0791,False,False,True,True,0.91,False,False,True,True,44.7,30.2,19070,19970,20690,18070
기타,두산밥캣,241560,60300,393.9,57801.2,60.2,1.94,228.5115,-287.28895,1.83,-3.21,1.69,6,"RSI 45~65, MA20 근처, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0862,False,False,False,True,1.34,True,False,True,True,44.0,29.6,60300,62710,64650,57380
기타,한화시스템,272210,59900,2034.34,113162.7,58.4,6.6,630.144,95.88716,0.8,8.91,16.76,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.1472,False,False,False,True,1.53,True,False,True,True,41.8,27.6,57780,60950,63490,54500
기타,LG디스플레이,034220,14700,1063.02,73500.0,45.0,1.89,-88.9174,40.14546,2.54,6.75,2.3,5,"MACD↑, MA20 근처, 거래량↑, 상승구조, 5d<10%",-0.1363,False,False,False,True,1.75,True,False,True,True,41.8,27.6,14700,15380,15920,14000
기타,삼성물산,028260,226000,731.64,384147.0,63.0,9.36,1426.7863,33.80369,-0.41,8.13,7.36,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.0085,False,False,True,False,1.4,True,False,True,True,41.8,27.6,211900,222370,230750,200460
KOSDAQ,태광,023160,28250,195.34,7486.2,48.9,3.53,-2.2981,54.84584,0.62,1.62,9.92,5,"RSI 45~65, MACD↑, MA20 근처, 상승구조, 5d<10%",-0.0514,False,False,True,False,1.58,True,False,True,True,41.8,27.6,28120,29770,31100,26470
KOSDAQ,엘앤씨바이오,290650,52800,188.24,12998.8,55.8,3.25,-77.8433,32.705,-0.82,6.13,8.09,5,"RSI 45~65, MACD↑, MA20 근처, 상승구조, 5d<10%",-0.1329,False,True,False,False,1.83,True,False,True,True,41.8,27.6,52800,56400,59290,49610
